"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
"sample_type","gut contents","gut contents","gut contents","gut contents","gut contents","gut contents","eDNA","eDNA","eDNA","eDNA","eDNA","eDNA","kick","kick","kick","kick","kick","kick"
"predator_id","D.vil","D.vil","G.zad","G.zad","D.vil","D.vil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"site","GW","GW","RB","RB","WB","WB","GW","GW","RB","RB","WB","WB","GW","GW","RB","RB","WB","WB"
"time","May","Oct","May","Oct","May","Oct","May","Oct","May","Oct","May","Oct","May","Oct","May","Oct","May","Oct"
"Valvatidae","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","2"
"Bithyniidae"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","12"," 0"," 0"," 0"
"Ceraclea_senilis","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"Chelicorphium_curvispinum","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"Ecnomus_sp.","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"Ecnomus_tenellus","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0"
"Elmidae","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0"
"Glossiphonia_heteroclita","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"Limnius_sp.","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"Lymnaea_auricolaria","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0"
"Lymnaea_stagnalis","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0"
"Lymnaea_truncatula","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"Nepa_cinerea","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"Notonecta_glauca","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"Oecetis_lacustris","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"Oecetis_sp.","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"Placobdella_costata","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"Planorbis_contortus","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","9","0","0"
"Unio_pictorum","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"Zygoptera","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0"
"Caenis_sp.","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0"
"Chydoridae","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"Corbicula_fluminea","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0"
"Corphium_sp.","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0"
"Crangonyx_floridanus","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"Daphniidae","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"Gammaridae","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"Hydrobiidae","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0"
"Planorbidae","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"Radix_auricolaria","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"Radix_peregra","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0"
